vehicle_id,lane,frame,timestamp
490,1,6348,211.6
493,2,6359,211.967
497,4,6384,212.8
499,1,6407,213.567
500,2,6429,214.3
503,1,6441,214.7
505,2,6474,215.8
506,1,6478,215.933
510,2,6526,217.533
511,3,6543,218.1
512,2,6569,218.967
513,4,6582,219.4
516,3,6653,221.767
518,3,6729,224.3
519,2,6752,225.067
521,1,6770,225.667
525,3,6810,227.0
527,4,6834,227.8
529,3,6875,229.167
530,2,6885,229.5
535,3,6949,231.633
536,1,6949,231.633
539,3,7009,233.633
541,1,7051,235.033
542,3,7100,236.667
543,1,7123,237.433
545,2,7191,239.7
544,3,7192,239.733
546,1,7260,242.0
549,2,7279,242.633
548,4,7285,242.833
551,3,7336,244.533
552,2,7336,244.533
553,4,7361,245.367
554,1,7372,245.733
555,2,7424,247.467
556,4,7429,247.633
558,1,7438,247.933
559,2,7510,250.333
560,1,7548,251.6
561,2,7568,252.267
564,2,7599,253.3
569,4,7626,254.2
563,1,7647,254.9
574,2,7653,255.1
576,3,7689,256.3
577,1,7709,256.967
579,1,7750,258.333
581,2,7772,259.067
586,2,7832,261.067
588,2,7872,262.4
589,3,7890,263.0
591,1,7897,263.233
592,4,7908,263.6
600,2,7938,264.6
605,3,7972,265.733
607,2,7999,266.633
608,1,8021,267.367
611,2,8062,268.733
612,1,8065,268.833
613,3,8075,269.167
615,2,8144,271.467
619,3,8177,272.567
620,2,8183,272.767
623,1,8209,273.633
624,3,8235,274.5
625,2,8237,274.567
626,1,8268,275.6
628,1,8326,277.533
631,2,8357,278.567
633,3,8383,279.433
634,1,8384,279.467
638,2,8418,280.6
639,3,8438,281.267
640,2,8453,281.767
641,1,8465,282.167
642,3,8490,283.0
647,2,8504,283.467
654,2,8537,284.567
655,1,8555,285.167
656,3,8562,285.4
658,2,8611,287.033
659,3,8620,287.333
660,2,8649,288.3
661,1,8653,288.433
662,3,8670,289.0
664,3,8733,291.1
665,4,8773,292.433
667,1,8795,293.167
668,2,8809,293.633
670,3,8834,294.467
674,3,8862,295.4
675,1,8868,295.6
677,1,8905,296.833
679,1,8946,298.2
681,1,9002,300.067
682,2,9016,300.533
683,3,9026,300.867
685,1,9039,301.3
686,4,9059,301.967
689,2,9142,304.733
691,3,9164,305.467
692,4,9175,305.833
694,1,9183,306.1
693,2,9184,306.133
